"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4758387";"";"";"Unknown";"";"433.51";"3";"7";"3.38";"110.11";"9";"2";"0";"7";"N";"0.43";"9.01";"4.61";"3.40";"3.38";"3";"MOL";"-1";"29";"8";"2";"0";"433.0766";"-1.47";"NEUTRAL";"C19H19N3O5S2";"COc1cc(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)cc(OC)c1O";"YXDZLKZATHLEFT-KEBDBYFISA-N"
"CHEMBL4754406";"";"";"Unknown";"";"373.46";"3";"13";"3.37";"91.65";"7";"2";"0";"5";"N";"0.53";"9.18";"4.69";"3.71";"3.70";"3";"MOL";"-1";"25";"6";"2";"0";"373.0555";"-1.80";"NEUTRAL";"C17H15N3O3S2";"CS(=O)(=O)c1ccc(-c2csc(N/N=C/c3cccc(O)c3)n2)cc1";"BJNKRYAVNXGRPH-VCHYOVAHSA-N"
"CHEMBL4790676";"";"";"Unknown";"";"417.51";"3";"12";"3.68";"89.88";"8";"1";"0";"7";"N";"0.47";"11.07";"4.25";"3.70";"3.70";"3";"MOL";"-1";"28";"7";"1";"0";"417.0817";"-1.79";"NEUTRAL";"C19H19N3O4S2";"COc1cccc(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1OC";"LRNPQDCEBNEWQR-RGVLZGJSSA-N"
"CHEMBL4781090";"";"";"Unknown";"";"447.54";"3";"7";"3.69";"99.11";"9";"1";"0";"8";"N";"0.42";"11.68";"4.67";"3.54";"3.54";"3";"MOL";"-1";"30";"8";"1";"0";"447.0923";"-1.55";"NEUTRAL";"C20H21N3O5S2";"COc1cc(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)cc(OC)c1OC";"VJVBMTWGYKJGED-SRZZPIQSSA-N"
"CHEMBL4780636";"";"";"Unknown";"";"373.46";"3";"7";"3.37";"91.65";"7";"2";"0";"5";"N";"0.53";"9.11";"4.86";"3.71";"3.69";"3";"MOL";"-1";"25";"6";"2";"0";"373.0555";"-1.79";"NEUTRAL";"C17H15N3O3S2";"CS(=O)(=O)c1ccc(-c2csc(N/N=C/c3ccc(O)cc3)n2)cc1";"DQUUKYATKWSSMT-VCHYOVAHSA-N"
"CHEMBL4761194";"";"";"Unknown";"";"417.51";"3";"12";"3.68";"89.88";"8";"1";"0";"7";"N";"0.47";"11.06";"4.23";"3.70";"3.70";"3";"MOL";"-1";"28";"7";"1";"0";"417.0817";"-1.85";"NEUTRAL";"C19H19N3O4S2";"COc1ccc(OC)c(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)c1";"LRNJNXWJQXEBKI-RGVLZGJSSA-N"
"CHEMBL4763059";"";"";"Unknown";"";"403.49";"3";"12";"3.37";"100.88";"8";"2";"0";"6";"N";"0.48";"9.61";"4.73";"3.56";"3.55";"3";"MOL";"-1";"27";"7";"2";"0";"403.0660";"-1.55";"NEUTRAL";"C18H17N3O4S2";"COc1ccc(/C=N/Nc2nc(-c3ccc(S(C)(=O)=O)cc3)cs2)cc1O";"WFKVQXPBQFZREB-VXLYETTFSA-N"
"CHEMBL1710350";"";"";"Small molecule";"";"279.30";"13";"16";"3.80";"52.33";"4";"0";"0";"3";"N";"0.68";"None";"None";"3.94";"3.94";"3";"MOL";"-1";"21";"4";"0";"0";"279.0895";"-0.61";"NEUTRAL";"C17H13NO3";"COC(=O)c1c(-c2ccccc2)noc1-c1ccccc1";"WDAOZAXXZFWIOD-UHFFFAOYSA-N"
"CHEMBL4747321";"";"";"Unknown";"";"329.31";"6";"15";"0.73";"120.78";"6";"4";"0";"5";"N";"0.36";"9.03";"4.77";"0.43";"0.42";"2";"MOL";"-1";"24";"8";"4";"0";"329.1012";"-0.94";"NEUTRAL";"C16H15N3O5";"O=C(/C=C/c1ccc(O)c(O)c1)NNC(=O)COc1cccnc1";"ZOFDQTHDCXJKRU-GQCTYLIASA-N"
"CHEMBL2380865";"";"";"Small molecule";"";"277.68";"3";"3";"4.70";"39.17";"3";"0";"0";"2";"N";"0.68";"None";"None";"3.74";"3.74";"3";"MOL";"-1";"19";"3";"0";"0";"277.0306";"-1.46";"NEUTRAL";"C14H9ClFNO2";"Cc1onc(-c2ccc(Cl)o2)c1-c1ccccc1F";"BGOVOFKQWOWYIN-UHFFFAOYSA-N"
