Chemoeffectors,Response,SMILES,Iso_SMILES,RDKit_Mol,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
N-acetyl-L-aspartate,attractant,CC(=O)NC(CC(=O)O)C(=O)O,CC(=O)N[C@@H](CC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D45AF0>,10.372722978080121,10.372722978080121,0.5660648148148144,-1.354074074074074,0.5106757441982883,11.75,175.14,166.06799999999998,175.048072388,68,0,0.32631125641394865,-0.4811614657650901,0.4811614657650901,0.32631125641394865,1.3333333333333333,1.8333333333333333,2.0833333333333335,16.37512443581621,10.190299908980744,2.205728394475432,-2.088966819646728,1.9145760134277394,-2.405401648556168,5.852983883510826,-0.1465996153967604,1.831371518279692,4.135982327213131,180.0838499786226,9.723614639131599,6.403629112767679,6.403629112767679,5.43042811032654,3.1487379814425154,3.1487379814425154,2.1892099993507244,2.1892099993507244,1.0543342739302772,1.0543342739302772,0.6200596249328842,0.6200596249328842,-1.5899999999999999,249.0665264860381,10.41,4.321535172500668,4.261190525625161,68.18685758794393,15.529843393687743,6.041840829147961,0.0,5.907179729351506,0.0,11.938610575903699,9.589074368143644,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,24.596666341896878,17.845790305255207,0.0,5.316788604006331,0.0,19.386399651764595,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,34.10068592408457,14.383611552215466,0.0,13.344558822616634,0.0,0.0,0.0,0.0,103.7,30.30845275732917,14.383611552215466,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.316788604006331,0.0,10.213054789681411,0.0,0.0,30.74615268329554,18.61534486016629,0.0,-3.1875925925925914,-1.3472222222222225,-0.6161574074074077,1.1228080120937263,0.0,0.5,12,3,6,0,0,0,1,0,0,0,1,0,3,3,6,0,4,0,0,0,0,0,3.748931762144329,0,-0.9496,37.49329999999999,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-acetyl-L-serine,attractant,CC(=O)NC(CO)C(=O)O,CC(=O)N[C@@H](CO)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D45070>,10.231944444444444,10.231944444444444,0.47087962962962915,-1.2382407407407403,0.4563490775293282,12.2,147.13,138.058,147.053157768,58,0,0.32812097334846635,-0.47965171204407786,0.47965171204407786,0.32812097334846635,1.6,2.1,2.2,16.371394763879753,10.303035875497862,2.152393081773302,-2.0760162375909332,1.8005982034338848,-2.4165329554576096,5.815681376991684,-0.14216536522860093,1.8143954273762264,3.833483296499401,130.97373660251156,8.146264369941973,5.495380822303816,5.495380822303816,4.574586062669973,2.683681413884169,2.683681413884169,1.7739214967304948,1.7739214967304948,0.85816388828254,0.85816388828254,0.43083412437875646,0.43083412437875646,-1.1,112.49251649732604,8.9,3.8375573921028465,3.032306526953668,57.66039337350357,15.529843393687743,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,6.606881964512918,19.802129157825057,11.876485017303356,0.0,5.316788604006331,0.0,12.965578028838586,6.606881964512918,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,34.73826260064564,9.589074368143644,0.0,6.923737199690624,0.0,0.0,0.0,0.0,86.63000000000001,24.525207810964233,9.589074368143644,0.0,0.0,0.0,0.0,6.923737199690624,0.0,5.316788604006331,0.0,10.213054789681411,0.0,0.0,20.32324074074074,18.637685185185184,0.0,-1.7091203703703695,-1.182870370370371,0.0,0.5977314814814811,0.0,0.6,10,3,5,0,0,0,1,0,0,0,1,0,3,3,5,0,3,0,0,0,0,0,3.415426078971534,0,-1.4319999999999997,32.32629999999999,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta-alanine,none,C(CN)C(=O)O,C(CN)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D454D0>,9.519305555555556,9.519305555555556,0.06944444444444442,-0.8356481481481481,0.47539194451369415,8.166666666666666,89.09399999999998,82.03799999999998,89.047678464,36,0,0.304125215871101,-0.48119525458647605,0.48119525458647605,0.304125215871101,1.8333333333333333,2.3333333333333335,2.3333333333333335,16.365180161500522,10.452807535199382,1.8722471423811387,-1.8017777865815128,1.671878707261063,-2.0510855893421556,5.662785319578704,-0.13625975144470376,1.3485878960124225,2.831257109931365,44.0,4.99156383156272,3.3470257175265417,3.3470257175265417,2.770055610029662,1.6895326240390471,1.6895326240390471,0.9324136778181659,0.9324136778181659,0.3582030387883616,0.3582030387883616,0.12347528753566925,0.12347528753566925,-0.5700000000000001,14.834466856136647,5.43,2.6557336343115123,3.4299999999999993,35.76478180587526,10.84019487200289,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.544756405912575,6.4208216229260096,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,6.4208216229260096,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.62058908870513,4.794537184071822,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,63.32000000000001,5.969305287951849,4.794537184071822,0.0,12.965578028838586,0.0,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,9.519305555555556,7.8334722222222215,4.848611111111111,-0.8356481481481481,0.0,0.06944444444444442,0.2314814814814814,0.0,0.6666666666666666,6,3,3,0,0,0,0,0,0,0,0,0,2,2,3,0,2,0,0,0,0,0,2.4034389390519184,0,-0.5802,21.3072,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-alpha-Aminoadipate,none,C(CC(C(=O)O)N)CC(=O)O,C(C[C@@H](C(=O)O)N)CC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D45000>,10.102570389266818,10.102570389266818,0.026805555555555527,-1.0876029856386993,0.5114056019789325,12.454545454545455,161.157,150.069,161.068807832,64,0,0.31996753176433507,-0.4812303827490858,0.4812303827490858,0.31996753176433507,1.3636363636363635,1.9090909090909092,2.272727272727273,16.369836735170995,10.12395166538535,2.103605502415884,-2.0239711111269925,1.9798547211558257,-2.2939640951593363,5.727718095787493,-0.13987380184948184,1.8609916850131312,3.387645329037021,142.11730005192325,8.85337115112852,5.986944653866536,5.986944653866536,5.0365812602091875,3.2392720349491038,3.2392720349491038,2.2306978086944205,2.2306978086944205,1.2229679532284279,1.2229679532284279,0.5966762881182713,0.5966762881182713,-1.1,182.37718513128686,9.900000000000002,4.675103105799176,5.349438202247191,63.81536400130485,15.946722266843596,6.041840829147961,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,12.841643245852019,6.4208216229260096,0.0,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,25.30430569792599,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.193506194733068,9.589074368143644,0.0,19.26246486877803,0.0,0.0,0.0,0.0,100.61999999999999,17.98045140505166,9.589074368143644,0.0,12.841643245852019,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,20.064976379440665,16.451529667422527,5.110227702191988,-2.0157615268329545,-0.9357870370370376,0.49148148148148163,0.0,0.0,0.6666666666666666,11,4,5,0,0,0,0,0,0,0,1,0,3,3,5,0,5,0,0,0,0,0,4.207592795219259,0,-0.3468000000000005,37.09799999999999,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamma-amino-n-butyrate,none,C(CC(=O)[O-])C[NH3+],C(CC(=O)[O-])C[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44F90>,9.619305555555556,9.619305555555556,0.14236111111111094,-0.9827314814814814,0.4384807153147518,8.714285714285714,103.12100000000001,94.049,103.063328528,42,0,0.07429578570436225,-0.5501678059355084,0.5501678059355084,0.07429578570436225,1.7142857142857142,2.2857142857142856,2.4285714285714284,16.36512318626024,10.313142012704672,1.8245229943710337,-1.9382930288169375,1.7789729010436264,-2.5001182784979212,5.635005797109529,-0.3696031534253562,1.6121972227029933,2.8219389370591843,53.05865002596163,5.698670612749269,4.144923705673916,4.144923705673916,3.270055610029662,2.2618016810571366,2.2618016810571366,1.3291152491146936,1.3291152491146936,0.6309008405285682,0.6309008405285682,0.2693375672974064,0.2693375672974064,-0.5700000000000001,29.01955000865388,6.43,3.614162062615101,5.43,42.12972392027186,15.634732056074714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,12.390126910877859,6.544756405912575,15.634732056074714,5.969305287951849,0.0,0.0,0.0,12.841643245852019,6.544756405912575,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,12.514061693864424,4.794537184071822,0.0,12.841643245852019,0.0,0.0,0.0,0.0,67.77,5.969305287951849,9.901064578912528,0.0,6.4208216229260096,12.965578028838586,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,9.619305555555556,9.619305555555556,3.466527777777778,-0.9827314814814814,0.0,0.7696759259259257,0.6745833333333333,0.0,0.75,7,3,3,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,3.319866008945014,0,-2.241599999999999,21.996100000000002,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alpha-aminoisobutyrate,attractant,CC(C)(C(=O)O)N,CC(C)(C(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44F20>,9.895833333333334,9.895833333333334,0.9791666666666663,-1.0833333333333335,0.4830747297376657,11.285714285714286,103.121,94.04899999999999,103.063328528,42,0,0.32258974124012363,-0.4798906162830665,0.4798906162830665,0.32258974124012363,1.7142857142857142,1.8571428571428572,1.8571428571428572,16.368978859041835,10.103731502387495,2.189094693856667,-2.0875947199438363,1.925201871769813,-2.405550124027463,5.765745565057249,-0.14144279968525192,1.3143204867061786,3.7911184170869663,72.52932501298082,6.077350269189626,4.432812155153447,4.432812155153447,2.9433756729740645,1.9664060775767234,1.9664060775767234,2.0268404008955154,2.0268404008955154,0.5512062305175798,0.5512062305175798,0.0,0.0,-0.5700000000000001,17.086166327180322,6.43,1.4995195518462698,2.1666482504604048,42.12972392027186,10.84019487200289,5.538925252383345,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,19.38639965176459,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,16.614757935175902,4.794537184071822,0.0,13.847474399381248,0.0,0.0,0.0,0.0,63.31999999999999,11.508230540335195,4.794537184071822,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,0.0,10.84019487200289,0.0,0.0,9.895833333333334,8.125,3.9953703703703707,-0.9791666666666663,0.0,0.0,2.8796296296296298,0.0,0.75,7,3,3,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,1.3774158169102164,0,-0.19169999999999987,25.902199999999997,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL-2-amino-1-propanol,attractant,CC(CO)N,CC(CO)N,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44EB0>,8.018518518518519,8.018518518518519,0.06018518518518534,-0.06018518518518534,0.43375529257897977,15.0,75.111,66.039,75.068413908,32,0,0.05793155391757801,-0.39477568265926627,0.39477568265926627,0.05793155391757801,2.0,2.2,2.2,16.251800155972365,10.408391820218494,1.8075405750417286,-1.908439019205221,1.6219355399615798,-2.182049913429429,4.429166558893622,0.27348198103462124,1.3787834934861756,2.5395388613593908,14.0,4.284457050376173,3.309020915065757,3.309020915065757,2.270055610029662,1.6351596590036603,1.6351596590036603,1.1598580700277676,1.1598580700277676,0.2879834411740013,0.2879834411740013,0.0,0.0,-0.08,9.65148445440323,4.920000000000001,2.1751020408163266,3.92,31.603259705831498,10.84019487200289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.041840829147961,6.606881964512918,5.106527394840706,0.0,0.0,0.0,5.733667477162185,12.965578028838586,6.606881964512918,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.755250188501584,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,46.25,0.0,0.0,0.0,12.648722793660879,0.0,0.0,0.0,6.923737199690624,0.0,0.0,10.84019487200289,0.0,0.0,0.0,8.018518518518519,5.041666666666667,0.0,-0.06018518518518534,0.0,1.8333333333333335,0.0,1.0,5,3,2,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,0,0,0,1,2.1403004081632657,0,-0.6741000000000001,20.735200000000003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ammonium,attractant,[NH4+],[NH4+],<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44E40>,0.0,0.0,0.0,0.0,0.39321321024386885,0.0,18.039,14.007,18.03382554809,8,0,-0.36885902728094044,-0.36885902728094044,0.36885902728094044,0.36885902728094044,1.0,1.0,1.0,14.007,14.007,-0.36885902728094044,-0.36885902728094044,-0.4806,-0.4806,2.134,2.134,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.9600000000000016,-27.040000000000028,-104.0400000000001,7.50422812385033,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,6.150546350318038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-25.958400000000072,0,0.3762,5.9848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
D-aspartate,attractant,C(C(C(=O)O)N)C(=O)O,C([C@H](C(=O)O)N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44DD0>,9.846435185185186,9.846435185185186,0.5324074074074074,-1.294074074074074,0.45202125503537777,12.555555555555555,133.103,126.047,133.037507704,52,0,0.32057810707028217,-0.48117538323698905,0.48117538323698905,0.32057810707028217,1.4444444444444444,1.8888888888888888,2.0,16.374459508080385,10.219120554237673,2.138970863581751,-1.985359867284349,1.8553193040644167,-2.3183883750884378,5.796663645130888,-0.1444881494356059,1.634374150092862,3.632432151939845,120.0,7.439157588755425,4.572731091493441,4.572731091493441,4.036581260209188,2.239272034949104,2.239272034949104,1.542593428738265,1.542593428738265,0.7117310363094159,0.7117310363094159,0.27543757635280286,0.27543757635280286,-1.1,60.47184355343589,7.8999999999999995,3.032306526953668,3.479710144927536,51.08547977251164,15.946722266843596,6.041840829147961,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,12.462662452073971,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.193506194733068,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,100.61999999999999,24.401273027977666,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,19.61726851851852,16.03199074074074,4.837037037037037,-2.4978703703703697,-1.2893518518518519,-0.5324074074074074,0.0,0.0,0.5,9,4,5,0,0,0,0,0,0,0,1,0,3,3,5,0,3,0,0,0,0,0,2.6616912847704417,0,-1.1269999999999998,27.863999999999997,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-aspartate,attractant,C(C(C(=O)O)N)C(=O)O,C([C@@H](C(=O)O)N)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000002B6C1D44D60>,9.846435185185186,9.846435185185186,0.5324074074074074,-1.294074074074074,0.45202125503537777,12.555555555555555,133.103,126.047,133.037507704,52,0,0.32057810707028217,-0.48117538323698905,0.48117538323698905,0.32057810707028217,1.4444444444444444,1.8888888888888888,2.0,16.374459508080385,10.219120554237673,2.138970863581751,-1.985359867284349,1.8553193040644167,-2.3183883750884378,5.796663645130888,-0.1444881494356059,1.634374150092862,3.632432151939845,120.0,7.439157588755425,4.572731091493441,4.572731091493441,4.036581260209188,2.239272034949104,2.239272034949104,1.542593428738265,1.542593428738265,0.7117310363094159,0.7117310363094159,0.27543757635280286,0.27543757635280286,-1.1,60.47184355343589,7.8999999999999995,3.032306526953668,3.479710144927536,51.08547977251164,15.946722266843596,6.041840829147961,0.0,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,12.462662452073971,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.193506194733068,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,100.61999999999999,24.401273027977666,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,19.61726851851852,16.03199074074074,4.837037037037037,-2.4978703703703697,-1.2893518518518519,-0.5324074074074074,0.0,0.0,0.5,9,4,5,0,0,0,0,0,0,0,1,0,3,3,5,0,3,0,0,0,0,0,2.6616912847704417,0,-1.1269999999999998,27.863999999999997,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
