mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10459717114766438,0.005111899487202473,0.011722087860107422,0.0015145467003994692,5,,0.25,2,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 25}",0.5877735944609298,0.4246136473429951,0.581315109573241,0.5312341171257219,0.07543814878993321,608
0.20572900772094727,0.009372684874615426,0.015141884485880533,0.0027137286428000917,5,,0.25,2,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 50}",0.588431303110232,0.4449306582125603,0.6041218794053569,0.5458279469093831,0.0716321422076979,410
0.5733148256937662,0.07389695061582634,0.029399792353312176,0.008245504579182399,5,,0.25,2,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 100}",0.5745111627804034,0.4371759510869565,0.5794343281430219,0.5303738140034605,0.06593148276025922,616
1.2878573735555012,0.09443947538455208,0.04144986470540365,0.003137886234294444,5,,0.25,2,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 2, 'n_estimators': 200}",0.576337193644689,0.4629200224340756,0.5773901719595516,0.5388824626794387,0.053715276764657725,507
0.19090652465820312,0.01633926261294337,0.060857137044270836,0.04833193683057423,5,,0.25,4,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 25}",0.5904457028244863,0.46436856129227055,0.5579320485710623,0.5375821042292731,0.053444373450464225,530
0.34244147936503094,0.03444329210036915,0.020855506261189777,0.002085091009897412,5,,0.25,4,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 50}",0.5643390871053335,0.455012887794384,0.5468049817057541,0.5220523188684906,0.04794145876028251,694
0.6089014212290446,0.10478392128562117,0.02546548843383789,0.0020121472208214446,5,,0.25,4,100,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 100}",0.5803370005907245,0.4474733985601601,0.5609123376034146,0.5295742455847664,0.05859318046019232,630
0.8668979008992513,0.09683823877125379,0.02644181251525879,0.0007918129285974498,5,,0.25,4,200,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 4, 'n_estimators': 200}",0.5748689375309102,0.44465021999001353,0.5818905811932616,0.5338032462380617,0.06310584989692132,573
0.1478869915008545,0.0074953608963975625,0.009911139806111654,0.0049792676787681085,5,,0.25,6,25,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 25}",0.5561111585888561,0.44569170580464956,0.5337046061114448,0.5118358235016501,0.0476570850130859,737
0.20772147178649902,0.01934403355200478,0.012817064921061197,0.0012647632645362372,5,,0.25,6,50,"{'max_depth': 5, 'max_features': None, 'max_samples': 0.25, 'min_samples_split': 6, 'n_estimators': 50}",0.556006212924343,0.46190191969600336,0.5577535248035528,0.5252205524746331,0.04477871680026146,664
